Parameter,nState,Avg,Std,HillRange
monoMulti,1,0.13581215863161689,0.0031723109837294354,2-11
monoMulti,2,0.11647479065318797,0.0060526870765996565,2-11
monoMulti,3,0.031935482146809455,6.318405664158947e-4,2-11
monoMulti,4,0.02133018425318347,0.01177595557916736,2-11
nState,1,0.13581215863161686,0.0031723109837294193,2-11
nState,2,0.19893481621533943,0.005624017162497656,2-11
nState,3,0.2989883943893885,0.010725727641527778,2-11
nState,4,0.6606384235289146,0.05230091840024746,2-11
Phase,1,0.1421315676856275,0.0031095943312263083,2-11
Phase,2,0.23902529125953637,0.006357834070774335,2-11
Phase,3,0.33795734929019283,0.018192188826141105,2-11
Phase,4,0.76877255726986,0.06180995994593601,2-11
monoMulti,1,0.09634765176588782,0.0018998288910622198,7-16
monoMulti,2,0.06982474078880964,0.004964815372678908,7-16
monoMulti,3,0.012241618623685474,7.66699952824242e-4,7-16
monoMulti,4,0.011363414898076412,0.009991125617530567,7-16
nState,1,0.09634765176588782,0.0018998288910622198,7-16
nState,2,0.14270012087244974,0.005917940871627986,7-16
nState,3,0.17205307536676673,0.008816829743544724,7-16
nState,4,0.5222578474556449,0.049437484446296885,7-16
Phase,1,0.09842025459453659,0.00202763904161256,7-16
Phase,2,0.16836648507915103,0.007113106513232965,7-16
Phase,3,0.2031291288223887,0.009301853278336311,7-16
Phase,4,0.6219504760270445,0.051785397275354764,7-16
monoMulti,1,0.07667151973141498,0.0030797703905778096,12-21
monoMulti,2,0.05737256677023024,0.004016236684039795,12-21
monoMulti,3,0.007532980221314076,0.001932929815922361,12-21
monoMulti,4,0.0026607694225399734,0.0046085878270649356,12-21
nState,1,0.07667151973141498,0.0030797703905778096,12-21
nState,2,0.12032125300337146,0.0034405749983652117,12-21
nState,3,0.13024465865887708,0.009825860721915726,12-21
nState,4,0.3724583236385385,0.02495169755422983,12-21
Phase,1,0.07811305969925636,0.0031991025492426294,12-21
Phase,2,0.14147972720141663,0.002287898324308006,12-21
Phase,3,0.15222143131674729,0.011419088898514883,12-21
Phase,4,0.4451524733590553,0.026813711502029016,12-21
monoMulti,1,0.0658291580745857,7.401735647615866e-4,17-26
monoMulti,2,0.04888051513180493,2.500745258135445e-4,17-26
monoMulti,3,0.00568973147723186,0.0018497410566461127,17-26
monoMulti,4,0.002794616153373493,0.004840417165295588,17-26
nState,1,0.0658291580745857,7.401735647615945e-4,17-26
nState,2,0.1019447053598377,0.0020774872045097228,17-26
nState,3,0.11371255385313529,0.0029016223875446483,17-26
nState,4,0.26230430955519607,0.03585874249347861,17-26
Phase,1,0.06694467347103913,6.365872618028646e-4,17-26
Phase,2,0.12151044255494667,0.0019114154802398935,17-26
Phase,3,0.13150453113106822,0.002377034191932189,17-26
Phase,4,0.30770964160370873,0.044246515852851824,17-26
monoMulti,1,0.05801109071735275,0.002015875442946515,22-31
monoMulti,2,0.044520592375188954,0.002205945125734128,22-31
monoMulti,3,0.00274261354280863,6.867869577466861e-4,22-31
monoMulti,4,0,0,22-31
nState,1,0.05801109071735274,0.0020158754429465157,22-31
nState,2,0.09075330334894624,0.001964787938490992,22-31
nState,3,0.0975105596022753,0.006611807069963765,22-31
nState,4,0.2859905278906589,0.02368050280457524,22-31
Phase,1,0.059019403709953934,0.001868329542482652,22-31
Phase,2,0.109429353327214,0.002991428122165703,22-31
Phase,3,0.11035690123757082,0.005541529128468069,22-31
Phase,4,0.32185024479449376,0.02179492884686541,22-31
monoMulti,1,0.05058975680871878,0.002009911956212057,27-36
monoMulti,2,0.03890087600397234,0.0018641761857807022,27-36
monoMulti,3,0.0023938151433325065,0.0010319109585218908,27-36
monoMulti,4,0,0,27-36
nState,1,0.05058975680871878,0.002009911956212057,27-36
nState,2,0.0829237122572737,0.004167923287994712,27-36
nState,3,0.0916943957944329,0.009028984202476822,27-36
nState,4,0.20708598938452605,0.06404192487702424,27-36
Phase,1,0.05139781049705404,0.0020068803819665903,27-36
Phase,2,0.10147176298097929,0.00547328814652723,27-36
Phase,3,0.10405609572675642,0.013019950914739929,27-36
Phase,4,0.25049917750372586,0.07709211448564832,27-36
monoMulti,1,0.0479881068909466,0.0031042769361727166,32-41
monoMulti,2,0.03546090041267067,0.0016589514971607853,32-41
monoMulti,3,0.002070213978998753,9.053755010698561e-4,32-41
monoMulti,4,0,0,32-41
nState,1,0.0479881068909466,0.0031042769361727166,32-41
nState,2,0.07415260196981201,0.0019112472930827823,32-41
nState,3,0.0821180607751899,0.008307333179702654,32-41
nState,4,0.16992874797885538,0.022154490610472446,32-41
Phase,1,0.04843558191388198,0.003107127035559969,32-41
Phase,2,0.0928674147312282,0.0021904004258843047,32-41
Phase,3,0.09121418066949324,0.010955305411201195,32-41
Phase,4,0.20027865016358112,0.01881525346485393,32-41
monoMulti,1,0.042737011820536526,0.003734391518577981,37-46
monoMulti,2,0.03333134814150791,0.0019153006788633564,37-46
monoMulti,3,0.0018749596139084467,3.161317390794157e-4,37-46
monoMulti,4,0,0,37-46
nState,1,0.042737011820536526,0.0037343915185779853,37-46
nState,2,0.07216470449088602,0.0029933863398555528,37-46
nState,3,0.06437671677091529,0.005024249075172353,37-46
nState,4,0.15339031416012075,0.04273490880279329,37-46
