Parameter,nState,Avg,Std,HillRange
monoMulti,1,0.1397138925372256,0.00513937937734883,1-10
monoMulti,2,0.18014279811032224,0.00727837160194765,1-10
monoMulti,3,0.07859061710177165,0.00121900743774263,1-10
monoMulti,4,0.03275474729177312,0.02084267602186193,1-10
nState,1,0.13971389253722563,0.00513937937734882,1-10
nState,2,0.2503397477330109,0.003458750586454,1-10
nState,3,0.4584357856080718,0.01610463332916396,1-10
nState,4,0.7643025748534923,0.07486660222058779,1-10
Phase,1,0.1521701780991055,0.00493925259614815,1-10
Phase,2,0.29682759123415786,0.0025052450790236,1-10
Phase,3,0.492632905794454,0.01706980962337841,1-10
Phase,4,0.8292641037469287,0.07806574512590332,1-10
monoMulti,1,0.08039338826198646,0.00108422402896405,11-20
monoMulti,2,0.06017275293121556,0.00404678574815934,11-20
monoMulti,3,0.00758071852112121,0.00339862794872615,11-20
monoMulti,4,0,0,11-20
nState,1,0.08039338826198646,0.00108422402896405,11-20
nState,2,0.12445896747886684,0.00471761859652755,11-20
nState,3,0.14791786406706112,0.0081969983027572,11-20
nState,4,0.41272694941671567,0.08213726153892224,11-20
Phase,1,0.08216936560319846,0.00125442297802152,11-20
Phase,2,0.14568899164385896,0.00576827161195231,11-20
Phase,3,0.1679702741483413,0.01033493663072904,11-20
Phase,4,0.5099831702572112,0.11141927932465706,11-20
monoMulti,1,0.06214398928059064,0.00269911408306713,21-30
monoMulti,2,0.04336021969958593,8.046613552936951e-4,21-30
monoMulti,3,0.00445096371700734,0.00327857865035729,21-30
monoMulti,4,0,0,21-30
nState,1,0.06214398928059064,0.00269911408306713,21-30
nState,2,0.09130342872701708,7.145350787505435e-4,21-30
nState,3,0.10444017734761062,0.00878688569231314,21-30
nState,4,0.2475111036847276,0.02700289927311608,21-30
Phase,1,0.06317276160232636,0.00273693480648606,21-30
Phase,2,0.1098352914738199,0.00119232588634801,21-30
Phase,3,0.11957433392159836,0.00881145973310149,21-30
Phase,4,0.29752121938850234,0.02826786168296474,21-30
monoMulti,1,0.04958712954851455,0.00237142599549284,31-40
monoMulti,2,0.03509653701021226,0.00203597667439034,31-40
monoMulti,3,0.00216379592874408,2.7687678212234693e-4,31-40
monoMulti,4,0,0,31-40
nState,1,0.04958712954851455,0.00237142599549284,31-40
nState,2,0.07613282152345811,0.00437689692552145,31-40
nState,3,0.07582732428395539,0.00948505241894006,31-40
nState,4,0.1905073166768393,0.04369496785209764,31-40
Phase,1,0.05013098477881844,0.00239513332945774,31-40
Phase,2,0.0939644136240214,0.0046759069910687,31-40
Phase,3,0.08626839740213979,0.00956914774561849,31-40
Phase,4,0.23423789768720732,0.04470250868264666,31-40
monoMulti,1,0.04218158860713682,0.00133919558870006,41-50
monoMulti,2,0.03279014140304344,0.00139940092581675,41-50
monoMulti,3,0.00274201632659562,5.184848153005356e-4,41-50
monoMulti,4,0.00253915788661987,0.00439795046806484,41-50
nState,1,0.04218158860713682,0.00133919558870006,41-50
nState,2,0.0705507955374285,0.00360077302715436,41-50
nState,3,0.0603079931267666,0.00689588265458693,41-50
nState,4,0.15941780915103618,0.01070246154744464,41-50
Phase,1,0.04256102909585046,0.00135015036900499,41-50
Phase,2,0.08733318147369933,0.00387760892580221,41-50
Phase,3,0.0677886817146598,0.00708737974876789,41-50
Phase,4,0.17880400345041822,0.01295081952641344,41-50
monoMulti,1,0.03803459582493593,8.02213586392654e-4,51-60
monoMulti,2,0.02815475859461621,9.54707869357956e-4,51-60
monoMulti,3,8.389036650676864e-4,2.7946034613888447e-4,51-60
monoMulti,4,0,0,51-60
nState,1,0.03803459582493593,8.022135863926507e-4,51-60
nState,2,0.06291920011775436,5.722893880566606e-4,51-60
nState,3,0.05718556920893371,0.00323830524621121,51-60
nState,4,0.1197021277383851,0.02367749640497431,51-60
Phase,1,0.038382896566416413,8.10105727424141e-4,51-60
Phase,2,0.08141556757294983,0.00112665202707018,51-60
Phase,3,0.06408602837703675,0.00356699139711193,51-60
Phase,4,0.13234176717137888,0.02168430358879167,51-60
monoMulti,1,0.03554349675339085,0.00218479975865737,61-70
monoMulti,2,0.02754700371772122,0.00169942413001741,61-70
monoMulti,3,0.00280942893091298,0.00194819045250218,61-70
monoMulti,4,0,0,61-70
nState,1,0.03554349675339085,0.00218479975865737,61-70
nState,2,0.05897901293001399,7.92272004571999e-4,61-70
nState,3,0.05303966901330953,0.00212411609208447,61-70
nState,4,0.10201423517633038,0.02453653591667985,61-70
Phase,1,0.03585249643205037,0.00226401071719033,61-70
Phase,2,0.07646646210634475,0.00186104408436245,61-70
Phase,3,0.05926069303827615,0.00154713134532615,61-70
Phase,4,0.11818353157819957,0.03103897089302054,61-70
monoMulti,1,0.03186400865218052,0.00281269009479939,71-80
monoMulti,2,0.02482148664796446,0.00143021318863781,71-80
monoMulti,3,0.00168797504399423,0.00121430020201055,71-80
monoMulti,4,0,0,71-80
nState,1,0.03186400865218052,0.00281269009479939,71-80
nState,2,0.05428098980600211,0.0033556323565146,71-80
nState,3,0.04572789516119498,0.00572337040778129,71-80
nState,4,0.1101611833855483,0.02830039831158459,71-80
Phase,1,0.03211884638314361,0.00288483140567234,71-80
Phase,2,0.07111092917660398,0.00408577087616618,71-80
Phase,3,0.04966137095164792,0.00703072531978849,71-80
Phase,4,0.14219278793998852,0.0526317274149713,71-80
monoMulti,1,0.03186630335686131,0.00191082175997182,81-90
monoMulti,2,0.02596042978905899,0.00200764379205885,81-90
monoMulti,3,0.00131950532611828,2.702589822059515e-4,81-90
monoMulti,4,0,0,81-90
nState,1,0.03186630335686131,0.00191082175997183,81-90
nState,2,0.05438699374176291,2.8279517383080665e-4,81-90
nState,3,0.04437405896214207,0.00456709350986939,81-90
nState,4,0.10718534853583116,0.00146565725336315,81-90
Phase,1,0.03218113837618536,0.00193674008430751,81-90
Phase,2,0.07305328355647349,0.00139160488910181,81-90
Phase,3,0.04907350764320862,0.00478340269424941,81-90
Phase,4,0.12173030585960924,0.00502261866636877,81-90
monoMulti,1,0.02985942624945359,0.00101274634861445,91-100
monoMulti,2,0.02378436049182729,0.00252705317076068,91-100
monoMulti,3,6.531508277047929e-4,2.7985541611018783e-4,91-100
monoMulti,4,0,0,91-100
nState,1,0.02985942624945359,0.00101274634861445,91-100
nState,2,0.05152840167005264,0.00315043893417338,91-100
nState,3,0.04418847050323707,0.00418105810935196,91-100
nState,4,0.07919344873615,0.01862044746106956,91-100
Phase,1,0.0300764855323225,0.00101217884350849,91-100
Phase,2,0.06900037740255154,0.00306694526374348,91-100
Phase,3,0.04736698586538301,0.0041494602228885,91-100
Phase,4,0.1014978793808862,0.03391411012880382,91-100
monoMulti,1,0.13581215863161689,0.00317231098372943,2-11
monoMulti,2,0.11647479065318796,0.00605268707659965,2-11
monoMulti,3,0.03193548214680945,6.318405664158947e-4,2-11
monoMulti,4,0.02133018425318347,0.01177595557916736,2-11
nState,1,0.13581215863161686,0.00317231098372941,2-11
nState,2,0.19893481621533943,0.00562401716249765,2-11
nState,3,0.2989883943893885,0.01072572764152777,2-11
nState,4,0.6606384235289146,0.05230091840024746,2-11
Phase,1,0.1421315676856275,0.0031095943312263,2-11
Phase,2,0.23902529125953637,0.00635783407077433,2-11
Phase,3,0.33795734929019283,0.0181921888261411,2-11
Phase,4,0.76877255726986,0.06180995994593601,2-11
monoMulti,1,0.09634765176588782,0.00189982889106221,7-16
monoMulti,2,0.06982474078880964,0.0049648153726789,7-16
monoMulti,3,0.01224161862368547,7.66699952824242e-4,7-16
monoMulti,4,0.01136341489807641,0.00999112561753056,7-16
nState,1,0.09634765176588782,0.00189982889106221,7-16
nState,2,0.14270012087244974,0.00591794087162798,7-16
nState,3,0.17205307536676673,0.00881682974354472,7-16
nState,4,0.5222578474556449,0.04943748444629688,7-16
Phase,1,0.0984202545945366,0.00202763904161256,7-16
Phase,2,0.16836648507915103,0.00711310651323296,7-16
Phase,3,0.2031291288223887,0.00930185327833631,7-16
Phase,4,0.6219504760270445,0.05178539727535476,7-16
monoMulti,1,0.07667151973141498,0.0030797703905778,12-21
monoMulti,2,0.05737256677023024,0.00401623668403979,12-21
monoMulti,3,0.00753298022131407,0.00193292981592236,12-21
monoMulti,4,0.00266076942253997,0.00460858782706493,12-21
nState,1,0.07667151973141498,0.0030797703905778,12-21
nState,2,0.12032125300337146,0.00344057499836521,12-21
nState,3,0.13024465865887708,0.00982586072191572,12-21
nState,4,0.3724583236385385,0.02495169755422983,12-21
Phase,1,0.07811305969925636,0.00319910254924262,12-21
Phase,2,0.14147972720141663,0.002287898324308,12-21
Phase,3,0.15222143131674729,0.01141908889851488,12-21
Phase,4,0.4451524733590553,0.02681371150202901,12-21
monoMulti,1,0.0658291580745857,7.401735647615866e-4,17-26
monoMulti,2,0.04888051513180493,2.500745258135445e-4,17-26
monoMulti,3,0.00568973147723186,0.00184974105664611,17-26
monoMulti,4,0.00279461615337349,0.00484041716529558,17-26
nState,1,0.0658291580745857,7.401735647615945e-4,17-26
nState,2,0.1019447053598377,0.00207748720450972,17-26
nState,3,0.11371255385313528,0.00290162238754464,17-26
nState,4,0.26230430955519607,0.03585874249347861,17-26
Phase,1,0.06694467347103913,6.365872618028646e-4,17-26
Phase,2,0.12151044255494668,0.00191141548023989,17-26
